test_date,county,new_positives,total_number_of_tests_performed
2023-08-20,Wyoming,0,4
2023-08-20,Yates,0,2
2023-08-19,Albany,3,68
2023-08-19,Allegany,1,1
2023-08-19,Bronx,84,809
2023-08-19,Broome,13,27
2023-08-19,Capital Region,26,224
2023-08-19,Cattaraugus,1,10
2023-08-19,Cayuga,2,11
2023-08-19,Central New York,41,310
2023-08-19,Chautauqua,6,17
2023-08-19,Chemung,8,32
2023-08-19,Chenango,2,6
2023-08-19,Clinton,1,29
2023-08-19,Columbia,0,4
2023-08-19,Cortland,5,16
2023-08-19,Delaware,2,7
2023-08-19,Dutchess,17,101
2023-08-19,Erie,25,58
2023-08-19,Essex,0,15
2023-08-19,Finger Lakes,32,290
2023-08-19,Franklin,6,19
2023-08-19,Fulton,1,14
2023-08-19,Genesee,1,10
2023-08-19,Greene,0,9
2023-08-19,Hamilton,0,0
2023-08-19,Herkimer,0,3
2023-08-19,Jefferson,2,45
2023-08-19,Kings,132,1152
2023-08-19,Lewis,0,6
2023-08-19,Livingston,0,3
2023-08-19,Long Island,162,1203
2023-08-19,Madison,2,12
2023-08-19,Mid-Hudson,124,1099
2023-08-19,Mohawk Valley,18,88
2023-08-19,Monroe,25,193
2023-08-19,Montgomery,8,9
2023-08-19,Nassau,78,634
2023-08-19,New York,94,727
2023-08-19,New York City,501,4400
2023-08-19,Niagara,6,19
2023-08-19,North Country,13,167
2023-08-19,Oneida,5,54
